key,pronoun_per_sentence_mean,pronoun_per_sentence_median,pronoun_per_sentence_std,punct_per_sentence_mean,punct_per_sentence_median,punct_per_sentence_std,stop_per_sentence_mean,stop_per_sentence_median,stop_per_sentence_std,unique_word_pct_mean,unique_word_pct_median,unique_word_pct_std,words_per_sentence_mean,words_per_sentence_median,words_per_sentence_std
Olt,1.2345475028163726,1,1.5265458826576885,4.262561021404431,3,4.53187556176638,11.950732256853174,10,9.334971658170318,0.5873663471283128,0.5752508361204013,0.11762163058784253,27.192339466766803,23,21.939274431267208
Gorj,1.0403625791003934,1.0,1.4565407423206784,3.4987172909184197,2.0,3.8620327287975855,9.558320506242518,8.0,8.396044483786708,0.6187309167122881,0.6156156156156156,0.10722916019911015,21.340944073884042,18.0,18.924538596920407
Mehedinti,1.2541811846689896,1.0,1.7565283730587073,4.423867595818815,3.0,4.896093339534875,12.755400696864111,11.0,11.740609581328568,0.6044235806672367,0.5891794525394835,0.1509625181937952,29.54233449477352,24.0,27.254589846865535
Dolj,1.1624015748031495,1.0,1.5973044900748472,4.226968503937008,3.0,4.4331718731936975,11.703937007874016,10.0,9.127559734381004,0.6233521922490891,0.6148148148148148,0.10564919530588336,26.992125984251967,23.0,20.907443598928964
Valcea,1.2083019578313252,1.0,1.5328981407863627,4.043957078313253,3.0,4.218527962077818,11.01355421686747,10.0,8.307337989751964,0.6474360193679802,0.6487603305785123,0.10613607543889815,25.027484939759034,21.0,19.2058247000594
Vaslui,1.2443386603196191,1,1.7356217745040874,4.056307378442707,3,4.094027275547164,11.664467868072084,10,9.054711050656739,0.5925837454374336,0.5912129215765949,0.10169182666803382,26.85039102346141,23,20.29260431498389
Galati,1.0258473773906458,1.0,1.3595289064138258,4.547339519030487,4.0,4.430434224666395,11.985703465252794,10.0,8.302684008913635,0.6181334261612998,0.622662905188627,0.09463659402244963,27.73660291611437,24.0,19.249842867353063
Neamt,1.3596440688816338,1,1.7197832465970184,3.9774022149670314,3,3.580250679595256,12.039242045963766,10,8.887560383526116,0.5869883146191567,0.5791523700597281,0.11278552171202383,26.04193073426797,22,18.305929904636255
Bacau,1.2331003700005874,1,1.6301943446795681,3.857990250778176,3,3.608918401939037,10.679920126857343,9,7.5125218570915635,0.6238119317127699,0.6187015745026795,0.11080405432214284,24.183355846596584,21,16.248137467605392
Iasi,1.2993273542600896,1.0,1.4170168549733804,3.696748878923767,3.0,2.904249355359165,10.872477578475337,10.0,6.875962576279349,0.5812799354384409,0.5774961012584775,0.0851378371052468,23.42012331838565,21.0,14.453111865120585
Botosani,1.3304895388990452,1,1.5815965556190383,3.3956936827137922,3,3.2747395978656084,10.953009682442955,9,8.601826970317084,0.5794749654810192,0.5874919309346158,0.0927762028955068,23.028099397386416,19,18.596781885113963
Satu Mare,1.2388059701492538,1.0,1.6169766540262263,3.5223880597014925,3.0,3.005508420273522,10.309701492537313,8.0,7.789031413382186,0.7008189513901337,0.689873417721519,0.09842991079854223,22.276119402985074,19.0,15.728523282319271
Maramures,1.290909090909091,1,1.6312626501703522,3.4080382775119618,2,3.449431334933339,9.183923444976077,8,7.285723728807766,0.6040736602635075,0.6075153506875378,0.1053795600359242,19.779521531100478,17,15.422645431817628
